VENDOR_SITE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,CITY,STATE,COUNTRY,ZIP
"HQ - Milano","Piazza degli Affari n 8 ",,,,Milano,,IT,40121
"Lee Australia","210 Smith St",,,,Morwell,Victoria,AU,3840
"Lee Australia","210 Smith St",,,,Morwell,Victoria,AU,3840
"MCS Netherlands","J.H. Hisgenpad 1",,,,Amsterdam,,NL,"1025 WK"
"HQ - Roma","Via Rossa",,,,Roma,,IT,00100
Corporate,"275 N Field Drive",,,,"Lake Forest",IL,US,60045
"AC US INS","500 Main",,,,"La Crescenta",CA,US,91214
"Lee Canada","3975, rue St-Ambroise",,,,Montreal,,CA,"H4C 2E1"
"Dell FinSvcs UK","75 Drayton park",,,,London,,GB,N51BU
"Dell Sweden","Gamla Brogatan 23 A",,,,Stockholm,,SE,"111 20"
"Lee Sweden","Grevgatan 38",,,,Stockholm,,SE,"114 53"
"OD Sweden","Kanngjutargränd 50",,,,Vällingby,,SE,"162 57"
"EIP Sweden","Box 68",,,,Danderyd,,SE,"182 11"
"OD Healthcare","9900 Brand Blvd",,,,Glendale,CA,US,91204
"HQ - Madrid","Av Severo Ochoa, 15",Alcobendas,,,Madrid,,ES,28015
"MCS Univ US","5 BLOSSOM ST",,,,BOSTON,MA,US,02114
"NEP Osaka",1-2-3,,,,Fukushima-ku,Osaka,JP,553-0003
北京,?????????93?????B?,,,,"Chaoyang Qu",,CN,
"JGA Sweden",Tulpanvägen,,,,Älmhult,,SE,"343 34"
"High Tech CM","225 N 9th St #STE 520",,,,Boise,ID,US,83702
"USFS UK","61 Southwark Bridge Rd",,,,London,England,GB,"SE1 9DT"
"HQ - Boca Raton","6600 N Military Trl",,,,"Boca Raton",FL,US,33496
"JGA Healthcare","4100 Pine Way",,,,"Los Angeles",CA,US,90003
"McKesson HC","One Post Street",,,,"San Francisco",CA,US,94104
"HQ - Paris","92 Rue Claude Decaen",,,,Paris,,FR,75012
"ABC US1","1100 ABERNATHY ROAD",,,,ATLANTA,GA,US,30328
"NPD US1","10101 PEACHTREE INDUSTRIAL BLVD",,,,ATLANTA,GA,US,30360
"USFS US1","PO BOX 4415",,,,"NEW YORK",NY,US,10163
"NC Chiba",1-2-3,,,,Shiohama,Chiba,JP,272-0127
上海保税区,??????,,,,,,CN,
"OD Australia","101 Park St",,,,Geelong,Victoria,AU,3214
"Delhi ","5345 10th St",,,,Seattle,WA,US,
"Amazon US1","5345 10th St",,,,Seattle,WA,US,
"HQ - Barcelona","Gran Via de les Corts Catalanes, 25",,,,Barcelona,,ES,08015
"HQ - Roma","Largo dei Caduti di El Alamein, 20",,,,Roma,,IT,00173
Corporate,"1 Becton Drive",,,,"Franklin Lakes",NJ,US,07417
"CS Fin Svcs UK","51 Crossgate",,,,London,,GB,"DH1 4PR"
"USFS France","500 Quai du Docteur-Dervaux",,,,Paris,,FR,75004
"Staffing Univ U","1390 MARKET ST",,,,"SAN FRANCISCO",CA,US,94103
"Dell Univ US","109 S HARRIS ST",,,,"ROUND ROCK",TX,US,78664
"Dell Japan",1-2-3,,,,MOTOAKASAKA,Tokyo,JP,1070051
总部,???750?,,,,,,CN,201199
"NPD UK","5 New Street Square",,,,London,England,GB,"EC2M 2RB"
"Staples Prog US","10257 EAGLE NEST CT",,,,FAIRFAX,VA,US,22032
"Dell (China)","BJR Development Center",,,,"Fangshan Qu",,CN,
"Dell (China)","BJR Development Center",,,,"Fangshan Qu",,CN,
"Lee Japan",1-2-3,,,,MITA,Tokyo,JP,1530062
"RJK US1","4353 Kite Lane",,,,"Los Angeles",CA,US,90005
"Lee Progress US","11900 MARKET ST",,,,RESTON,VA,US,20190
"Siemens HC","51 Valley Stream Parkway",,,,Malvern,PA,US,19355
"Cardinal HC PRC","7000 Cardinal Place",,,,Dublin,OH,US,43017
"Aesculup HC PRC","1000 Gateway Blvd",,,,"South San Francisco",CA,US,94080
"JGA Australia","2 Anne St.",,,,Brisbane,Queensland,AU,4000
"EIP Australia","12 Delhi Road",,,,Brooklyn,"New South Wales",AU,2083
"AC Australia","22 Main St",,,,Gawler,"South Australia",AU,5116
"AC Fin Svcs US","5100 State St",,,,Boston,MA,US,02109
"UK Site","5100 State St",,,,Boston,MA,US,02109
"Staffing Sweden","Frösundaleden 2 B",,,,Solna,,SE,"169 70"
"MCS Sweden","Storgatan 49 A",,,,Nässjö,,SE,"571 32"
"AC Sweden","Box 3343",,,,Stockholm,,SE,"103 67"
"CDW US1","200 N MILWAUKEE AVE",,,,"VERNON HILLS",IL,US,60061
"AC Progress US","35 MARKET PL",,,,BALTIMORE,MD,US,21202
"HQ - Milano","via Bisceglie 95",,,,Milano,,IT,20152
"Dell Healthcare","5843 Sunset Lane",,,,"Los Angeles",CA,US,90005
"HQ - Madrid","Plaza Mayor, 3",,,,Madrid,,ES,28001
"HQ - Roma","Via Francesco Marucelli",,,,Roma,,IT,00100
"Staff Australia","200 George St.",,,,Sydney,"New South Wales",AU,2000
"MCS Australia","16 St. Georges",,,,"North Perth","Western Australia",AU,6006
"OD Japan",1-2-3,,,,MEGURO,Tokyo,JP,1530063
"NRE Tokyo",1-2-3,,,,IIDABASHI,Tokyo,JP,1020072
"JGA Canada","360 Spadina Avenue",,,,Toronto,,CA,"M5T 2G4"
"Stf Netherlands","Albardakade 3",,,,Amsterdam,,NL,1067
"EIP Netherlands","Roetersstraat 12",,,,Amsterdam,,NL,"1018 WD"
"OD Netherlands","Prins Bernhardlaan 2",,,,Diemen,,NL,"1111 ET"
"Lee Belgium","Hendrik I lei ",84,,,Vilvoorde,,BE,1800
"Sinoma (China)","Mid Sec., Yumin Road, Hi-Tech Development Zone",,,,Zibo,,CN,255086
"AC Japan","1 Chome-2 Mita",,,,MITA,Tokyo,JP,1530062
"JGA Univ US","333 TWIN DOLPHIN DR",,,,"REDWOOD CITY",CA,US,94065
"Baxter HC PAY","PO BOX 523",,,,"Round Lake",IL,US,60073
"Aesculup HC PAY","PO BOX 59400",,,,"South San Francisco",CA,US,94080
"BBR US1","1425 Dowell Dr",,,,"East Ventura",CA,US,93003
"HQ - Cupertino","1 Apple St",,,,Cupertino,CA,US,95014
"HQ - Ginevra","Rue de Geneve",,,,Ginevra,,CH,50000
"Lagring Systems","2 Fort Place",,,,"Saint George",NY,US,10301
"BM Japan",1-2-3,,,,SHINJUKU,Tokyo,JP,1600022
"Yuyao (China)","NO.15,block 9, Shaojiaqiu Road, linshan ,yuyao town",,,,Ningbo,,CN,315400
"Wenxian (China)","Haiyang Development Zone, Xidan Road, Ninghai Town",,,,Ningbos,,CN,315613
"NPD France","212 Avenue du Poteau",,,,Nanterre,,FR,92032
"HQ - Como","Via Giulia",,,,Como,,IT,22100
"Staples Univ US","401 EUCLID AVE",,,,CLEVELAND,OH,US,44114
"Lee Netherlands","Leidsestraat 32-34",,,,Amsterdam,,NL,"1017 "
"Lee Netherlands","Leidsestraat 32-34",,,,Amsterdam,,NL,"1017 "
"JGA Netherlands","Weena 686",,,,Rotterdam,,NL,3012
"Staffing Prog","124 PARK ST NE",,,,VIENNA,VA,US,22180
"JGA Progress US","614 ORONOCO ST",,,,ALEXANDRIA,VA,US,22314
"HQ - Milano","Via Stamira D'ancona ,9 ",,,,Milano,,IT,20127
"EIP Univ US","401 B ST",,,,"SAN DIEGO",CA,US,92101
"JGA Japan",1-2-3,,,,TAKADANOBABA,Tokyo,JP,1690075
"MCS Healthcare","5000 Salsbury Blvd",,,,"Los Angeles",CA,US,90005
"HQ - Milano","Via Fosse Ardeatine, 4",,,,Milano,,IT,20092
"HQ - Nanterre","Rue Napoleon",,,,Nanterre,,FR,92032
"AC Univ US","19 EVERETT ALY",,,,TRENTON,NJ,US,08611
"Dell Italy","Via Umbria, 7",,,,Roma,,IT,00187
"Fisher Scientif","300 Industry Dr",,,,Pittsburgh,PA,US,15275
"Baxter HC PRC","PO BOX 490",,,,"Round Lake",IL,US,60073
"CLP US1","30021 FAIRESTA ST",,,,"LA CRESCENTA",CA,US,91214
"HQ - Bologna","Via Morgagni, 6",,,,Bologna,,IT,40121
"Dell FinSvcs US","2300 Greenlawn Blvd",,,,"Round Rock",TX,US,78664
"Windsor Belgium","Dahliastraat ",18,,,Vilvoorde,,BE,1800
"David Draper","334 Rosemont Street",,,,"San Jose",CA,US,95123
"Dell Prog US","301 S ALFRED ST",,,,ALEXANDRIA,VA,US,22314
"OD Univ US","1202 N 3RD ST",,,,PHOENIX,AZ,US,85004
"GE Capital US1","3135 EASTON TPKE",,,,FAIRFIELD,CT,US,06828
"PL Poland","Al.Krakowska 25",,,,Warsaw,,PL,
"Altamonte US1","500 West Broadway",,,,"New York",NY,US,10012
"MCS US1","25 PECK ST",,,,PROVIDENCE,RI,US,02903
"MCS US1","25 PECK ST",,,,PROVIDENCE,RI,US,02903
"Staffing US1","1144 LOGAN ST",,,,DENVER,CO,US,80203
"USGE US1","1144 LOGAN ST",,,,DENVER,CO,US,80203
"Staples US1","500 STAPLES DR",,,,FRAMINGHAM,MA,US,01702
"Kojimachi TO",1-2-3,,,,KOJIMACHI,Tokyo,JP,1020083
"Dell UK","75 Drayton Park",,,,London,,GB,"N5 1BU"
"Masson France","5 Avenue du Général de Gaulle",,,,Senlis,Nord-Pas-de-Calais,FR,60300
"HQ - Paris","5 Avenue du Général de Gaulle",,,,Senlis,Nord-Pas-de-Calais,FR,60300
"EIP US1","145 VAN NESS AVE",,,,"SAN FRANCISCO",CA,US,94102
"AC US1","5500 STATE ST",,,,BOSTON,MA,US,02109
"OD US1","6600 N MILITARY TRL",,,,"BOCA RATON",FL,US,33496
"Allied US1","1600 E WARREN AVE",,,,DETROIT,MI,US,48207
"Lee US1","5000 CARTER DR.",,,,"LOS ANGELES",CA,US,90032
"Lee US1","5000 CARTER DR.",,,,"LOS ANGELES",CA,US,90032
"JGA US1","600 5TH AVE",,,,SEATTLE,WA,US,98104
"Dell US1","2300 GREENLAWN BLVD",,,,"ROUND ROCK",TX,US,78664
"Howell US1","1200 W WASHINGTON ST",,,,PHOENIX,AZ,US,85007
"UPS US1","55 GLENLAKE PKWY",,,,ATLANTA,GA,US,30328
"ATT US1","267 MARIETTA ST NW",,,,ATLANTA,GA,US,30313
"OD France","126 Avenue du Poteau",,,,Senlis,Nord-Pas-de-Calais,FR,60300
"BM US1","15 TRINITY AVENUE SW",,,,ATLANTA,GA,US,30303
"CS UK","53 Crossgate",,,,Durham,,GB,"DH1 4PR"
"Windsor UK","6070 Knights Court","Birmingham Business Park",,,Birmingham,,GB,"B37 7BF"
"Edison UK","21 New Globe Walk",,,,London,,GB,"SE1 9DT"
"RSM France","28 Rue Alfred Kastler",,,,Mont-Saint-Aignan,Haute-Normandie,FR,76130
"Dell France","1 Round-point Benjamin Franklin",,,,Montpellier,,FR,34000
"NES US1","700 STEWART ST",,,,SEATTLE,WA,US,98101
"PSH US1","131 DUANE ST",,,,"NEW YORK",NY,US,10013
"EDF UK","2 Foxborough",Swallowfield,"Reading Borough",,Reading,England,GB,"RG1 1AA"
"BT UK","Osprey House","Osprey Road",,,Exeter,,GB,"EX2 7WN"
"SFR France","42 Avenue de Friedland",,,,Paris,Île-de-France,FR,75008
"Utilitaire Fran","34 Avenue de Villiers",,,,Paris,Île-de-France,FR,75017
UtilitaireUS1CC,"34 Avenue de Villiers",,,,Paris,Île-de-France,FR,75017
"Metal Works US1","1200 GRANT ST",,,,PITTSBURGH,PA,US,15219
"Progressive UK","Kidderminster Industrial Estate","Spennells Valley Road",,,Kidderminster,,GB,"DY10 1XS"
"Eiffage France","163 Quai du Docteur-Dervaux",,,,Asnieres-sur-Seine,,FR,92601
"US1 Site","4324 Island Way",,,,Carlsbad,California,US,92011
US1,"4324 Island Way",,,,Carlsbad,California,US,92011
"InterUS1 China","4324 Island Way",,,,Carlsbad,California,US,92011
"US1 CLP","4324 Island Way",,,,Carlsbad,California,US,92011
"InterUS1 UK","4324 Island Way",,,,Carlsbad,California,US,92011
"InterUS1 France","4324 Island Way",,,,Carlsbad,California,US,92011
"InterUS1 SupUS","4324 Island Way",,,,Carlsbad,California,US,92011
"InterUS1 DE","4324 Island Way",,,,Carlsbad,California,US,92011
"InterFrance CN","18 rue Berthelot","BP 4101",,,Tours,,FR,37000
"InterFrance UK","18 rue Berthelot","BP 4101",,,Tours,,FR,37000
"InterFrance US1","18 rue Berthelot","BP 4101",,,Tours,,FR,37000
"InterFrance DE","18 rue Berthelot","BP 4101",,,Tours,,FR,37000
"InterUK France","55a Cambridge Rd",,,,Sawbridgeworth,,GB,"CM21 9JP"
"InterUK China","55a Cambridge Rd",,,,Sawbridgeworth,,GB,"CM21 9JP"
"InterUK US1","55a Cambridge Rd",,,,Sawbridgeworth,,GB,"CM21 9JP"
"InterUK DE","55a Cambridge Rd",,,,Sawbridgeworth,,GB,"CM21 9JP"
"Lee Poland","Przyokopowa 31",,,,Warsaw,,PL,
"JGA Switzerland","Via della Posta 57",,,,Lugano,,CH,CH6900
"BB Switzerland","Gutenbergstrasse. 22",,,,Zurich,,CH,CH8002
"MCS Poland","Jutrzenka 15",,,,Krakow,,PL,
"MCS Switzerland","Avenue Louis Casai 132",,,,Geneve,,CH,CH1209
"Amazon UK","20 Portman Square",,,,London,,GB,
"Amazon UK","20 Portman Square",,,,London,,GB,
"OD Poland","Sobieskiego 2",,,,Lobon,,PL,
"MAG Germany","Friedrichstr. 77 ",,,,Berlin,"Bundesland Berlin",DE,
"ZED Germany","Schellingstr. 22",,,,Mundenhof,Baden-Württemberg,DE,
"DE Germany","Hermannstr. 5",,,,Frankfurt,Bayern,DE,
"Lee Germany","Ivo-Hauptmann-Ring 5",,,,"Hamburg-Insel Neuwerk","Freie und Hansestadt Hamburg",DE,
"JGA Germany","Zitadellenweg 28",,,,Berlin,Schleswig-Holstein,DE,
"MCS Germany","Grunaer Str. 2",,,,Dressendorf,Bayern,DE,
"OD Germany","Linus-Pauling-Strasse 2",,,,Grossdemsin,Sachsen-Anhalt,DE,
Cihangir,"Cihangir Mahallesi ?ehit Zafer K?z?lta? Sokak no:1/2 / Avc?lar",,,,?stanbul,,TR,
Bağcılar,"Ba?lar Mahallesi, Yalç?n Kore? Cd. No:20, 34540 Ba?c?lar",,,,?stanbul,,TR,
Hendek,"Çaml?ca Mahallesi, 54300 Hendek",,,,Sakarya,,TR,
Eyüp,"/?stanbul, Türkiye",,,,Istanbul,,TR,
Beyoğlu,"Irmak Cad. No: 52 Dolapdere Beyo?lu",,,,Istanbul,,TR,
"RJK Progress","2100 Broadway Blvd",,,,Glendale,CA,US,91206
"OD Switzerland","Rue de la gare 78",,,,Morges,,CH,CH1110
"CSA Switzerland","Avenue de Provence 120",,,,Lausanne,,CH,CH1007
Corporate,"8195 Industrial Way",,,,Porterdale,GA,US,30014
"Amazon France","15 Boulevard Louis Armand",,,,Neuilly-sur-Marne,,FR,93330
"Amazon France","15 Boulevard Louis Armand",,,,Neuilly-sur-Marne,,FR,93330
"ABC Bank US1","270 Redwood Shores Pkwy",,,,"Redwood City",CA,US,94065
"Lee Switzerland","Aarbergergasse 25",,,,Bern,,CH,CH3011
"Amazon Progress","3500 Angeles Crest Hwy",,,,"La Canada",CA,US,91011
"Amazon Progress","3500 Angeles Crest Hwy",,,,"La Canada",CA,US,91011
"JGA Poland","Polna 12",,,,Warsaw,,PL,
"AC Switzerland","Rue de Lausanne 45",,,,Vevey,,CH,CH1800
"Amazon HC","6678 Broadway Blvd",,,,Glendale,CA,US,91206
"ZED Poland","Pulawska 345",,,,Warsaw,,PL,
"EIP Supremo US","655 West Broadway",,,,"San Diego",CA,US,92101
"Lee Supremo US","855 Hill Street",,,,"Los Angeles",CA,US,90014
"AE Supremo US","7351 N Ramsey Blvd",,,,Portland,OR,US,97203
"Staf Supremo US","1740 Broadway",,,,Denver,CO,US,80274
"RJK Supremo US","4111 Gaston Ave",,,,"Fair Park",TX,US,75246
"Base Supremo US","498 Union St",,,,Oakland,CA,US,94607
"Marx Supremo US","8291 E Pine St",,,,Tulsa,OK,US,74115
"Dell Supremo US","1 Dell Way",,,,"Round Rock",TX,US,78682
"FI Supremo US","456 Jefferson Ave",,,,"Dearborn Heights",MI,US,48125
"MCS Supremo US","1800 Larimer St",,,,Denver,CO,US,80202
"JGA Supremo US","400 S Howes St, ",,,,"Fort Collins",CO,US,80521
"PPP Supremo US","5198 Overbrook Dr",,,,Louisville-Jefferson,KY,US,40216
"AC Supremo US","1001 SW 5th Ave",,,,Portland,OR,US,97204
"Q1 Supremo US","2460 Airport Blvd",,,,Aurora,CO,US,80011
"AC India","H7 Green Park","Block H",,,"New Delhi",Delhi,IN,110016
"Lee India","South Ave","South Avenue Area"," President's Estate",,"New Delhi",Delhi,IN,110011
"OD India","no. 2/50-G",Ramnagar,Chanakyapuri,,"New Delhi",Delhi,IN,110021
"Wade Supremo US","11450 35th St",,,,Boston,MA,US,02135
"JGA India","Block C","Krishna Nagar",,,"New Delhi",Delhi,IN,110051
"LE Supremo US","89 Dunboy St",,,,Boston,MA,US,02135
"Amaz Supremo US","410 Terry Ave N",,,,Seattle,WA,US,98109
"CDW Supremo US","111 W Monroe St",,,,Chicago,IL,US,60603
"SM Supremo US","2141 Newton Ave",,,,"San Diego",CA,US,92113
"MCS India",H-038,"H Block","Sector 63",,Noida,"Uttar Pradesh",IN,201301
"Mili Supremo US","425 Gold St",,,,"San Jose",CA,US,95002
"EIP India","Block D","Lodi Colony",,,"New Delhi",Delhi,IN,110003
"Staffing India","Lodhi Road",Aliganj,"BK Dutt Colony",,"New Delhi",Delhi,IN,110003
"SF Sup CH","Johannisstraße 20",,,,Berlin,Schleswig-Holstein,DE,
"SF Sup US CH","Johannisstraße 20",,,,Berlin,Schleswig-Holstein,DE,
"RE Sup CH",Kirche,,,,Lauperswil,,CH,3438
"RE Sup US CH",Kirche,,,,Lauperswil,,CH,3438
"BT Sup CH","110 Jinhua Rd",,,,"Hangzhou Shi",,CN,
"BT Sup US CH","110 Jinhua Rd",,,,"Hangzhou Shi",,CN,
"LE Sup US CH","Rúa Principal, 36",,,,"SAN CIBRAO DAS VIÑAS",GALICIA,ES,32911
"LE Sup CH","Rúa Principal, 36",,,,"SAN CIBRAO DAS VIÑAS",GALICIA,ES,32911
"Lee Sup CH","Friedensgasse 59",,,,Basel,,CH,4056
"MI Sup CH","Thunstrasse 3",,,,Bern,,CH,3005
"EIP Sup CH","Leimgrubenweg 9",,,,Basel,,CH,4053
"GFS Supremo US","735 Piedmont Ave NE",,,,Atlanta,GA,US,30308
"AE Sup CH","3 Place Saint-Clair",,,,Hérouville-Saint-Clair,,FR,14202
"AE Sup US CH","3 Place Saint-Clair",,,,Hérouville-Saint-Clair,,FR,14202
"ABC Supremo US","104 E 14th St",,,,Manhattan,NY,US,10003
"MP US1","1365 Scottsdale Road",,,,"Bella Vista",AR,US,72712
Hyderabad,"1st Cross Street",,,,Hyderabad,Telangana,IN,460001
Mumbai,"Nariman Point",,,,Mumbai,Maharashtra,IN,400004
Chennai,"30, East Coast Road",,,,Chennai,"Tamil Nadu",IN,600030
"BS US1","Jiagu Building, Building 24",,,,,,CN,
"ABC Healthcare","459 Brightwood Ave",,,,Dayton,OH,US,45405
"ABC Healthcare","459 Brightwood Ave",,,,Dayton,OH,US,45405
Delhi,"123 New Delhi Street",,,,Delhi,Delhi,IN,110001
"BR US1","500 Eldorado Blvd",,,,Broomfield,CO,US,
"InterSupCH US","Rotbuchstrasse 46",,,,Zürich,,CH,8037
"JGA Sup CH","Hardstrasse 121",,,,Basel,,CH,4052
"MCS Sup CH","Finkenstrasse 25",,,,Oberwil,,CH,4104
"InterSupUS CH","1920 N High St",,,,"Capitol Hill",CO,US,80218
"InterSupUS US1","1920 N High St",,,,"Capitol Hill",CO,US,80218
"FFJS Supremo US","3083 Unviersal Drive",,,,Mississauga,,CA,"L4X 2E3"
"New York","13th street","47W ",,,"New York",NY,US,10011
"A1JS Supremo US","18801 East Hampden Ave",,,,Aurora,CO,US,80013
"82BELGACHIA ROA",,,,,,,US,
Pune,"Hinjewadi Phase 3",,,,Pune,,IN,411046
"Head Office - P","Hinjewadi Phase 3",,,,Pune,,IN,411046
sc,,,,,,,US,
sc11,,,,,,,US,
MOG-INFI,"123, ALQUAIR",,,,MUSCAT,,OM,
"Head Office",Minmax,,,,Surat,Gujarat,IN,360007
"Head Office","1 Hacker Way, Menlo Park, California,",,,,,"South Carolina",US,
"Head Office","Zomato Media Private Limited ","Horizon Centre, Golf Course Road",,,Gurgaon,Haryana,IN,122003
"Head Office","Maruthi Chambers Rupena Agrahara Hosur Road ",,,,Bengaluru,Karnataka,IN,300300
Saurav_Supplier,"Line 1",,,,Kolkata,,IN,700009
"Pfizer US1","1000 Trademark Dr",,,,Reno,NV,US,89521
London,"Commodity Quay, St. Katharine Docks, London,",,,,London,,GB,
South,"PO Box 4534 Dandenong South Vic 3175",,,,"South Bodallin","Western Australia",AU,
Saurav_Supplier,"Line 1",,,,Kolkata,,IN,700009
"London Site","23, Queen Street,",,,,London,,GB,"N5 1BU"
"Head Office","Everich Industrial Building #04-01/02",#06-07/08,,,,,SG,349566
"Head Office","Buildings Alyssa, Begonia","Devarabeesanahalli Village, ",,,Bengaluru,Karnataka,IN,4400400
"Head Office","Buildings Alyssa, Begonia","Devarabeesanahalli Village, ",,,Bengaluru,Karnataka,IN,4400400
"VWR US1","One Radnor Corporate Center","100 Matsonford Road",,,Radnor,PA,US,19087
"Parexel US1","1600 Chevy Chase Dr",,,,Glendale,CA,US,91206
Southampton,"111 - 137 MAGNESIUM DRIVE CRESTMEAD",,,,Southampton,"Western Australia",AU,
123,,,,,,,US,
ABC,sas,,,,,,US,
US1,sas,,,,,,US,
Antwerpen,Antwerpen,Antwerpen,,,"A and M College",Texas,US,77843
Antwerpen,Antwerpen,Antwerpen,,,"A and M College",Texas,US,77843
Sydney,Sydney,Sydney,,,Holtsville,"New York",US,00501
Sydney,Sydney,Sydney,,,Holtsville,"New York",US,00501
"Catalent US1","9000 Belward Campus Dr",,,,Rockville,MD,US,20850
Antwerpen,Antwerpen,Antwerpen,,,Antwerpen,,BE,Antwerpen
"Lexington Avenu","731 Lexington Avenue New York, NY 10022 ARBN",,,,,,US,
Chicago,"Park Street",Chicago,,,Huston,ID,US,83630
MG_Address01,"Cardiff ",,,,Cardiff,,GB,
MG_Address01,"Cardiff ",,,,Cardiff,,GB,
"UK Construction","H- Block Meena Road 63rd section ",,,,"New Delhi",Delhi,IN,110045
"UK Construction","H- Block Meena Road 63rd section ",,,,"New Delhi",Delhi,IN,110045
Site,,,,,,,US,
WHT,"Chatswood Service Center","56-64 Archer Street",,,Chatswood,"New South Wales",AU,2067
"Cardiff - Site","Cleeve House,","Lambourne Crescent,",,,Cardiff,,GB,"CF14 1ZU"
"Main Office",,,,,,,US,
"Main Office",,,,,,,US,
"Main Office",,,,,,,US,
Antwerpen,SCHOMHOEVEWEG,"15 - B 2030",,,ANTWERPEN,,BE,ANTWERPEN
"Dell Germany","In den Ministergarten 10",,,,Berlin,"Bundesland Berlin",DE,
"Amazon Germany","32 Mehringdamm",Kreuzberg,,,Berlin,,DE,10961
"Amazon Germany","32 Mehringdamm",Kreuzberg,,,Berlin,,DE,10961
Factory,"Phase 2",Hinjewadi,,,,,SG,411027
Headquarter,"701 Brooks Ave S","Thief River Falls",,,,,US,
Factory,"Nava Naroda",Ahmedabad,,,,,US,
"Head Office","Hero MotoCorp Limited,","The Grand Plaza, ",,,"New York",NY,US,
"Covance US1","4800 Emperor Blvd",,,,Durham,NC,US,27703
Southampton,,,,,Aaronsburg,PA,US,
Southampton-US,,,,,Aaronsburg,PA,US,
Factory,"Building #04-01/02, #06-07/08","81 Genting Lane, Everich Industrial",,,,,SG,349566
Factory,Kulai,,,,Johor,Malaysia,MY,81000
"SM Infusion Sup",,,,,Jamestown,NC,US,27282
"SM Infusion Sup",,,,,Jamestown,NC,US,27282
"SM Infusion Sup",,,,,Jamestown,NC,US,27282
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
